id,name,,,,,,,,,,,,,,,,,,
501,Poção Vermelha,,,,,,,,,,,,,,,,,,
502,Poção Laranja,,,,,,,,,,,,,,,,,,
503,Poção Amarela,,,,,,,,,,,,,,,,,,
504,Poção Branca,,,,,,,,,,,,,,,,,,
505,Poção Azul,,,,,,,,,,,,,,,,,,
506,Poção Verde,,,,,,,,,,,,,,,,,,
507,Erva Vermelha,,,,,,,,,,,,,,,,,,
508,Erva Amarela,,,,,,,,,,,,,,,,,,
509,Erva Branca,,,,,,,,,,,,,,,,,,
510,Erva Azul,,,,,,,,,,,,,,,,,,
511,Erva Verde,,,,,,,,,,,,,,,,,,
512,Maçã,,,,,,,,,,,,,,,,,,
513,Banana,,,,,,,,,,,,,,,,,,
514,Uvas,,,,,,,,,,,,,,,,,,
515,Cenoura,,,,,,,,,,,,,,,,,,
516,Batata Doce,,,,,,,,,,,,,,,,,,
517,Carne,,,,,,,,,,,,,,,,,,
518,Mel,,,,,,,,,,,,,,,,,,
519,Leite,,,,,,,,,,,,,,,,,,
520,Folha de Hinalle,,,,,,,,,,,,,,,,,,
521,Folha de Aloe,,,,,,,,,,,,,,,,,,
522,Mastela,,,,,,,,,,,,,,,,,,
523,Água Benta,,,,,,,,,,,,,,,,,,
525,Panacéia,,,,,,,,,,,,,,,,,,
526,Geléia Real,,,,,,,,,,,,,,,,,,
528,Ração para Monstros,,,,,,,,,,,,,,,,,,
529,Bala,,,,,,,,,,,,,,,,,,
530,Bengala Doce,,,,,,,,,,,,,,,,,,
531,Suco de Maçã,,,,,,,,,,,,,,,,,,
532,Suco de Banana,,,,,,,,,,,,,,,,,,
533,Suco de Uva,,,,,,,,,,,,,,,,,,
534,Suco de Cenoura,,,,,,,,,,,,,,,,,,
535,Abóbora,,,,,,,,,,,,,,,,,,
536,Sorvete,,,,,,,,,,,,,,,,,,
537,Ração para Bichinho,,,,,,,,,,,,,,,,,,
538,Biscoito de Gengibre,,,,,,,,,,,,,,,,,,
539,Pedaço de Bolo,,,,,,,,,,,,,,,,,,
540,Ração para Falcão,,,,,,,,,,,,,,,,,,
541,Ração para Peco Peco,,,,,,,,,,,,,,,,,,
544,Peixe Cru,,,,,,,,,,,,,,,,,,
545,Poção Vermelha Compacta,,,,,,,,,,,,,,,,,,
546,Poção Amarela Compacta,,,,,,,,,,,,,,,,,,
547,Poção Branca Compacta,,,,,,,,,,,,,,,,,,
548,Queijo,,,,,,,,,,,,,,,,,,
549,Batata Doce Assada,,,,,,,,,,,,,,,,,,
550,Bolinhos de Arroz,,,,,,,,,,,,,,,,,,
551,Sushi,,,,,,,,,,,,,,,,,,
552,Ketupat,,,,,,,,,,,,,,,,,,
553,Pão de Carne,,,,,,,,,,,,,,,,,,
554,Mochi,,,,,,,,,,,,,,,,,,
555,Bolinho de Arroz,,,,,,,,,,,,,,,,,,
556,Bolinho de Arroz no Palito,,,,,,,,,,,,,,,,,,
557,Fatia de Bolo de Arroz,,,,,,,,,,,,,,,,,,
558,Chocolate,,,,,,,,,,,,,,,,,,
559,Chocolate Caseiro,,,,,,,,,,,,,,,,,,
560,Chocolate Branco feito a mão,,,,,,,,,,,,,,,,,,
561,Chocolate Branco,,,,,,,,,,,,,,,,,,
562,Fondue Suíço,,,,,,,,,,,,,,,,,,
563,Fondue Suíço,,,,,,,,,,,,,,,,,,
564,Bolinho de Arroz,,,,,,,,,,,,,,,,,,
